ITEM: TIMESTEP
     0
ITEM: NUMBER OF ATOMS
 26040
ITEM: BOX BOUNDS pp pp pp
 -0.29999E+02   0.29999E+02
 -0.29999E+02   0.29999E+02
 -0.69741E+02   0.69741E+02
ITEM: ATOMS id element x y z vx vy vz fx fy fz
   105  Al   0.14000E+02  -0.25999E+02  -0.69741E+02  -0.24277E+01  -0.29448E+01  -0.15827E+01   0.19742E+03  -0.12431E+03  -0.23052E+04
   106  Al   0.16000E+02  -0.23999E+02  -0.69741E+02   0.49053E+01   0.41739E+01  -0.10413E+01  -0.77049E+01   0.17276E+03  -0.22482E+04
   107  Al   0.14000E+02  -0.23999E+02  -0.67741E+02   0.17140E+01   0.27959E+01   0.46940E+00   0.31787E+00  -0.70399E+01  -0.91840E+03
   108  Al   0.16000E+02  -0.25999E+02  -0.67741E+02  -0.64163E+00  -0.76330E+00   0.43702E+01  -0.37140E+01   0.10258E+01  -0.92794E+03
   109  Al   0.18000E+02  -0.25999E+02  -0.69741E+02  -0.22077E+01  -0.25375E+01  -0.18721E+01  -0.54044E+03  -0.29246E+03  -0.14592E+04
   110  Al   0.20000E+02  -0.23999E+02  -0.69741E+02   0.30255E+01  -0.12051E+01  -0.12134E+01  -0.75788E+02  -0.21567E+03  -0.20550E+04
   111  Al   0.18000E+02  -0.23999E+02  -0.67741E+02  -0.32100E+01  -0.56934E+00   0.15511E+00  -0.88204E+00  -0.15069E+01  -0.91743E+03
   112  Al   0.20000E+02  -0.25999E+02  -0.67741E+02  -0.23210E+01   0.13963E+01  -0.12718E+01  -0.84265E+01   0.85078E+01  -0.90341E+03
   113  Al   0.21999E+02  -0.25999E+02  -0.69741E+02  -0.34283E+01  -0.18890E+01  -0.10996E+00  -0.15920E+03  -0.76109E+03   0.88800E+03
   114  Al   0.23999E+02  -0.23999E+02  -0.69741E+02  -0.15540E+01   0.21241E+01   0.13155E+01   0.60495E+02  -0.30499E+03  -0.19753E+04
   115  Al   0.21999E+02  -0.23999E+02  -0.67741E+02  -0.20955E+01  -0.14080E+01  -0.85969E+00  -0.30218E+00   0.10315E+02  -0.91394E+03
   116  Al   0.23999E+02  -0.25999E+02  -0.67741E+02   0.20915E+01  -0.74815E+00  -0.16344E+01   0.57841E+01   0.10190E+02  -0.89769E+03
   117  Al   0.25999E+02  -0.25999E+02  -0.69741E+02   0.42360E+01   0.54735E+00   0.31389E+01   0.62499E+03  -0.42574E+03  -0.79025E+03
   118  Al   0.27999E+02  -0.23999E+02  -0.69741E+02  -0.12143E+01   0.18478E+01   0.11416E+01   0.22721E+02   0.10739E+03  -0.22345E+04
   119  Al   0.25999E+02  -0.23999E+02  -0.67741E+02   0.10387E+01   0.23791E+00   0.62818E+00   0.11203E+01   0.22688E+01  -0.91650E+03
   120  Al   0.27999E+02  -0.25999E+02  -0.67741E+02  -0.13006E+01  -0.19804E+01   0.20996E+00   0.68500E+01   0.22933E+01  -0.92387E+03
   121  Al  -0.29999E+02  -0.21999E+02  -0.69741E+02   0.26029E+00   0.33393E+00  -0.41236E+01  -0.10378E-10   0.78614E+03   0.81401E+02
   122  Al  -0.27999E+02  -0.20000E+02  -0.69741E+02  -0.12532E+01  -0.14646E+01   0.11344E+01   0.73641E+03   0.54483E-01   0.14620E+04
   123  Al  -0.29999E+02  -0.20000E+02  -0.67741E+02  -0.50461E+01  -0.10857E+01  -0.36217E+01  -0.17126E-10  -0.12961E+00  -0.88746E+03
   124  Al  -0.27999E+02  -0.21999E+02  -0.67741E+02   0.12556E+01  -0.14119E+01  -0.43904E+00   0.60273E+01  -0.10736E+02  -0.90386E+03
   125  Al  -0.25999E+02  -0.21999E+02  -0.69741E+02  -0.16822E+01   0.29098E+01  -0.31843E+01   0.46021E+03   0.35582E+03  -0.15001E+04
   126  Al  -0.23999E+02  -0.20000E+02  -0.69741E+02   0.40379E+00   0.63279E+00   0.54263E+01   0.40088E+03   0.60891E+00  -0.19271E+04
   127  Al  -0.25999E+02  -0.20000E+02  -0.67741E+02   0.20989E+01   0.25183E+01  -0.12469E+01   0.11990E+02  -0.87806E-01  -0.91214E+03
   128  Al  -0.23999E+02  -0.21999E+02  -0.67741E+02  -0.72491E-01   0.18792E+00   0.45366E+01   0.45006E+01  -0.58566E+00  -0.92516E+03
   129  Al  -0.21999E+02  -0.21999E+02  -0.69741E+02   0.18357E+01  -0.30166E+01   0.13786E+01  -0.76860E+02   0.91895E+02  -0.24561E+04
   130  Al  -0.20000E+02  -0.20000E+02  -0.69741E+02   0.17006E+01   0.19899E+01  -0.30450E+01  -0.64242E+03   0.49086E+00  -0.13342E+04
   131  Al  -0.21999E+02  -0.20000E+02  -0.67741E+02   0.27614E+01   0.32294E+01   0.10979E+01  -0.24301E+01   0.86118E-02  -0.93071E+03
   132  Al  -0.20000E+02  -0.21999E+02  -0.67741E+02  -0.25223E+01  -0.12640E+01   0.35684E+01  -0.67079E+01  -0.26682E+01  -0.92093E+03
   133  Al  -0.18000E+02  -0.21999E+02  -0.69741E+02  -0.11837E+01   0.97367E+00   0.48406E-01  -0.48497E+03   0.50346E+03  -0.95967E+03
   134  Al  -0.16000E+02  -0.20000E+02  -0.69741E+02   0.39868E+01   0.68636E+00  -0.18226E+01  -0.42627E+03  -0.10850E-01   0.21681E+04
   135  Al  -0.18000E+02  -0.20000E+02  -0.67741E+02   0.15793E+01  -0.22425E+01   0.24276E+01  -0.11614E+02  -0.11422E+00  -0.90308E+03
   136  Al  -0.16000E+02  -0.21999E+02  -0.67741E+02  -0.81243E-01  -0.24628E-01   0.14504E+01  -0.33290E+01  -0.12442E+02  -0.90003E+03
